aardvark cerdo homiguero
aardvarks cerdo homigueros
ab abdominal
abaca abacá
abacas abacá
abacus ábaco
abacuses ábacos
abaddon 
abalone abulón
abalones abulónes
abandonment abandono
abandonments abandonos
abatement disminución
abatements disminuciones
abaya abacá
abayas abacás
abbey abadía
abbeys abadías
abbot abad
abbots abades
abbott abad
abbreviation abreviatura
abbreviations abreviaturas
abdication abdicación
abdications abdicaciones
abdomen abdomen
abdomens abdomenes
abduction rapto
abductions raptos
aberration aberración
aberrations aberraciones
abilities habilidades
ability habilidad
abjoint articulación
ablation ablación
ablations ablaciones
abnegation abnegación
abnegations abnegaciones
abnormalities anormalidades
abnormality anormalidad
abode morada
abodes moradas
abolition abolición
abolitionist abolicionista
abolitionists abolicionistas
abolitions aboliciones
abomination abominación
abominations abominaciones
abondance abundancia
abondances abundancias
aboriginal aborigen la aborigen
aboriginals aborigen la aborigenes
aborigine aborigen
abortion aborto
abortions abortos
abrasion abrasión
abrasions abrasiones
abrasives abrasivos
abscess absceso
abscesses abscesos
absciss absceso
abscisses abscesos
absence ausencia
absences ausencias
absentee ausente
absenteeism ausentismo
absentees ausentes
absey abadía
absinthe absenta
absolutes absolutos
absolution absolución
absolutions absoluciones
absorption absorción
absorptions absorciones
abstinence abstinencia
abstinences abstinencias
abstraction abstracción
abstractions abstracciones
abstracts resumenes
abstrict resumen
abstriction abstracción
abstrictions abstracciones
abstricts resumenes
absurdities lo absurdos
absurdity lo absurdo
abundance abundancia
abundances abundancias
abundancy abundancia
abune abuso
aburst salva
abuse abuso
abuser abusador
abusers abusadores
abyss abismo
abysses abismos
academics académico la académicas
academies academias
academy academia
acceleration aceleración
accelerations aceleraciones
accelerator acelerador
accelerators aceleradores
acceleratory acelerador
accend acento
accension ascensión
accensions ascensos
accent acento
accents tonos
acceptance aceptación
acceptances aceptaciones
acceptancy aceptación
access acceso
accesses accesos
accessibilities facilidad de accesos
accessibility facilidad de acceso
accession ascenso
accessions ascensos
accessories accesorios
accessorise accesorio
accessorises accesorios
accessory accesorio
accident accidente
accidents accidentes
acclaim aclamación
acclaims aclamaciones
accolade honor
accolades honores
accommodation alojamiento
accommodations alojamientos
accompaniment acompañamiento
accompaniments acompañamientos
accomplice cómplice
accomplices cómplices
accomplishment logro
accomplishments logros
accord acuerdo
accordance concesión
accordances concesiones
accordion acordeón
accordions acordeónes
accords acuerdos
account cuenta
accountabilities responsabilidades
accountability responsabilidad
accountancies contabilidades
accountancy contabilidad
accountant contador
accountants contadores
accounting contabilidad
accountings contabilidades
accounts  cuentases
accreditation reconocimiento
accreditations reconocimientos
accrual acumulación
accruals acumulaciones
acculturation aculturación
accumulation acumulación
accumulations acumulaciones
accuracies exactitudes
accuracy exactitud
accusation acusación
accusations acusaciones
ace as
acetone acetona
acetones acetonas
ache dolor
aches dolores
achievement logro
achievements logros
achiever triunfador
achievers triunfadores
acid ácido
acidity acidez
acids ácidos
acini ases
acis acto
acknowledgement reconocimiento
acknowledgements reconocimientos
acknowledgment reconocimiento
acknowledgments  mencioneses
acne acné
acold frío
acolyte acólito
acolytes acólitos
acorn bellota
acorns bellotas
acorus bellota
acquaintance conocido
acquaintances conocidos
acquisition adquisición
acquisitions adquisiciones
acquittal absolución
acquittals absoluciones
acres montónes
acrimonies acritudes
acrimony acritud
acrobat acróbata
acrobatics acrobacias
acrobats acróbatas
acronym acrónimo
acronyms acrónimos
acropolis acrópolis
acropolises acrópolises
acrostic acróstico
acrostics acrósticos
acrylics acrílicos
act acto
acte acto
actin acción
actings actuaciones
actinon acción
action acción
actions acciones
activism activismo
activist activista
activists activistas
activities actividades
activity actividad
actons acciones
actors actores
actress actriz
actresses actrices
actressy actriz
acts actos
actualisation realización
actualisations realizaciones
actualities realidades
actuality realidad
actualization realización
actualizations realizaciones
actuaries actuario de seguroses
actuary actuario de seguros
actus acto
acuity agudeza
acumen perspicacia
acumens perspicacias
acupuncture acupuntura
ad anuncio
adage adagio
adages adagios
adaptability adaptabilidad
adaptation adaptación
adaptations adaptaciones
adapter adaptador
adapters adaptadores
adaption adaptación
adaptions adaptaciones
adaptor adaptador
adaptors adaptadores
addend sumando
addenda apéndice
addends sumandos
addendum apéndice
adder víbora
adders víboras
addict adicto
addiction adicción
addictions adicciones
addicts adictos
addition suma
additions sumas
additives aditivos
address dirección
addressee destinatario
addressees destinatarios
addresses  atencioneses
addrest dirección
adepts experto la expertas
adequacies suficiencias
adequacy suficiencia
adherence observancia
adherences observancias
adhesion adhesión
adhesions adhesiones
adhesives adhesivos
adige adagio
adjective adjetivo
adjectives adjetivos
adjournment aplazamiento
adjournments aplazamientos
adjudication fallo
adjudications fallos
adjunct apéndice
adjuncts apéndices
adjuster tasador
adjusters tasadores
adjustment ajuste
adjustments ajustes
adland tierra
adler aliso
admeasure medida
admin administración
administration administración
administrations administraciones
administrator administrador
administrators administradores
admins administraciones
admiral almirante
admirals almirantes
admiration admiración
admirer admirador
admirers admiradores
admission entrada
admissions entradas
admittance entrada
admittances entradas
admonition admonición
admonitions admoniciones
adnation nación
ado alboroto
adobe adobe
adolescence adolescencia
adolescences adolescencias
adolescents adolescentes
adonising Adonis
adoption adopción
adoptions adopciones
adoration adoración
adorations adoraciones
adpress dirección
adpresses  atencioneses
adread área
adrenaline adrenalina
adscript guion
adsorption absorción
adsum suma
adulation adulación
adulations adulaciones
adulteries adulterios
adulterizes adulterios
adultery adulterio
adulthood edad adulta
adults adultos
advance avance
advancement avance
advancements avances
advances avances
advantage ventaja
advantages ventajas
advantaging ventaja
advent advenimiento
advents advenimientos
adventure aventura
adventurer aventurero
adventurers aventureros
adventures aventuras
adversaries adversarios
adversary adversario
adversities adversidades
adversity adversidad
advert anuncio
adverting anuncio
advertisement anuncio
advertisements anuncios
advertiser anunciante
advertisers anunciantes
advertising publicidad
adverts anuncios
advice consejo
advices consejos
advisement deliberación
advisements deliberaciones
adviser consejero
advisers consejeros
advisor consejero
advisors consejeros
advocacies apoyos
advocacy apoyo
advocate defensor
advocates defensores
advocatus defensor
adward premio
aerials antenas
aerobics los aeróbicos
aeroplane avión
aeroplanes aviones
aerosol aerosol
aerosols aerosoles
aerospace industria aeroespacial
aesc a
aesthesia anestesia
aesthetician esteticista
aestheticians esteticistas
aesthetics estéticas
affair asunto
affaires asuntos
affairs los cosases
affection afecto
affections afectos
affidavit afidávit
affidavits afidávits
affiliate afiliado
affiliates afiliados
affiliation afiliación
affiliations afiliaciones
affine multa
affinities afinidades
affinity afinidad
affirmation afirmación
affirmations afirmaciones
affirmatives s
affixed afijo
affixes afijos
affliction aflicción
afflictions aflicciones
affluence opulencia
affluents afluentes
afforce fuerza
affordability asequibilidad
affront afrenta
affrontee afrenta
affronts afrentas
afghan afgano
afghani afganos
afghanis afganos
afghans afganos
african africano
africans africanos
aftercare asistencia postoperatoria
afterglow arrebol
afterglows arreboles
afterlife vida de ultratumba
aftermath  consecuencias
aftermaths  consecuenciases
afternoon tarde
afternoons tardes
aftershave loción para después del afeitado
aftershaves loción para después del afeitados
aftershock réplica
aftershocks réplicas
aftertaste regusto
aftertastes regustos
afterthought ocurrencia
afterthoughts ocurrencias
afterword epílogo
afterwords epílogos
aga agá
agapae ágape
agar agar
agars agares
agas agá
agast agá
agate ágata
agates ágatas
agave agave
agaves agaves
agaze agave
age edad
ageings envejecimientos
ageism discriminación por edad
agen edad
agencies agencias
agency agencia
agenda orden del día
agent representante
agents representantes
agers edades
ages edades
agger ira
aggers iras
aggradation empeoramiento
aggradations empeoramientos
aggravation empeoramiento
aggravations empeoramientos
aggregate conglomerado
aggregates conglomerados
aggression agresión
aggressions agresiones
aggressiveness agresividad
aggressor agresor
aggressors agresores
aggro los líos
aggros los líoses
agility agilidad
agings envejecimientos
agism discriminación por edad
agitation inquietud
agitations inquietudes
aglet herrete
aglets herretes
agley callejón
aglitter basura
agname nombre
agnise anís
agnostics agnósticos
agnus ano
agonies dolor agudos
agons dolor agudos
agony dolor agudo
agora ágora
agorae ágora
agoraphobia agorafobia
agouti agutí
agoutis agutí
agouty agutí
agreeableness amabilidad
agreement acuerdo
agreements acuerdos
agrement acuerdo
agrements acuerdos
agriculture agricultura
ague fiebre intermitente
ahab árabe
ahint pista
ahorse caballo
aid ayuda
aidance baile
aide asistente
aides asistentes
aids ayudas
aiglet herrete
aiglets herretes
ailment enfermedad
ailments enfermedades
aim objetivo
aims objetivos
air aire
airbrush aerógrafo
airbrushes aerógrafos
aircraft avión
airers aires
aires aires
airfare tarifa aérea
airflow corriente de aire
airflows corriente de aires
airhead cabeza hueca
airheads cabeza huecas
airings oreos
airline línea aérea
airlines línea aéreas
airmail correo aéreo
airn aire
airning oreo
airns aires
airplane avión
airplanes aviones
airport aeropuerto
airports aeropuertos
airpost aeropuerto
airs aires
airship dirigible
airships dirigibles
airt arte
airts  arteses
airway ruta aérea
airways ruta aéreas
aisle pasillo
aisne pasillo
aits ayudas
aix aire
aizle pasillo
akron delantal
alabaster alabastro
alabasters alabastros
alablaster alabastro
alacrity presteza
alarm alarma
alarms alarmas
alary alarma
albanians albanéses
albatross albatros
albatrosses albatroses
album álbum
albums álbums
alchemise alquimista
alchemises alquimistas
alchemist alquimista
alchemists alquimistas
alchemizes alquimias
alchemy alquimia
alchymy alquimia
alcoholics alcohólicos
alcoholise alcoholismo
alcoholises alcohólicos
alcoholism alcoholismo
alcove hueco
alcoves huecos
alder aliso
alderman concejal
aldermen concejales
alders alisos
aldine planta alpestre
aldose dosis
aleft alerta
alength largo
alepine planta alpestre
alertness vigilancia
alexia alexia
alexin alexia
alfalfa alfalfa
alfalfas alfalfas
algae alga
algate alga
algates ágatas
algebra álgebra
algebras álgebras
algorithm algoritmo
algorithms algoritmos
algum álbum
algums álbums
alias alias
alibi coartada
alibis coartada
alien extraterrestre
alienation alienación
alienist alienista
alienists alienistas
aliens extraterrestres
alignment alineación
alignments alineaciones
alimentation alimentación
alimentations alimentaciones
alimonies pensión alimenticias
alimony pensión alimenticia
alineation alienación
alineations alienaciones
alkenes extraterrestres
alky aliado
allayer capa
allee callejón
allees aliados
allegation acusación
allegations acusaciones
allegiance lealtad
allegiances lealtades
allegories alegorías
allegorise alegoría
allegorises alegorías
allegory alegoría
alleluia aleluya
alleluias aleluyas
allergen alérgeno
allergens alérgenos
allergies alergias
allergist alergólogo
allergists alergólogos
allergy alergia
alley callejón
alleyn callejón
alleys callejónes
alleyway callejón
alleyways callejónes
alliance alianza
alliances alianzas
allices aliados
allie aliado
allier aliado
allies aliados
alligator caimán
alligators caimánes
allises aliados
allison choque
alliteration aliteración
alliterations aliteraciones
allocation reparto
allocations repartos
allotment asignación
allotments asignaciones
allowance asignación
allowances asignaciones
alloy aleación
alloyed aleación
alloys aleaciones
alls todos
allspice pimienta de Jamaica
allure atractivo
allured atractivo
allures atractivos
allusion alusión
allusions alusiones
ally aliado
allyl aliado
alm todo
almanac almanaque
almanacs almanaques
almond almendra
almonds almendras
alnus ano
aloe aloe
aloed aloe
aloes aloes
aloha alfa
alp todo
alpha alfa
alphabet alfabeto
alphabetization alfabetización
alphabets alfabetos
alphas alfas
alpine planta alpestre
alpines planta alpestres
altair altar
altar altar
alteration alteración
alterations alteraciones
altercates suplente la suplentes
altercation altercado
altercations altercados
alternates suplente la suplentes
alternative alternativa
alternatives alternativas
alternator alternador
alternators alternadores
althorn espina
altitude altitud
altruism altruismo
altruist altruista
altruists altruistas
alum alumbre
aluminium aluminio
aluminum aluminio
alumium aluminio
alumna exalumna
alumnae exalumnas
alumni exalumnos
alumnus exalumno
alums alumbres
alure atractivo
alveoli alvéolos
alveolus alvéolo
amalgam amalgama
amalgamation fusión
amalgamations fusiones
